team_size,dense_communication,local_degree_median,obstacle_count,iterations,per_robot_latency_median_seconds,per_robot_latency_p95_seconds,per_robot_latency_p99_seconds,neighbour_discovery_median_seconds,simulator_aggregate_median_seconds,safety_projection_median_seconds,intervention_latency_median_seconds,peak_memory_bytes
5,False,4.0,1,100,0.0013175624999999247,0.0016025056000000366,0.001739435000000098,0.0002596874999999388,0.016492771000000017,0.0011261249999999778,0.0011261249999999778,532305
5,True,4.0,1,100,0.0013091665000002362,0.0015934815500000532,0.0017128339899999778,0.0001959590000000233,0.016362624999999964,0.0011216875000001902,0.0011216875000001902,183913
6,False,5.0,1,100,0.001502479000000223,0.0018641690999999128,0.002052311659999324,0.00036981250000001076,0.022667083500000018,0.0012998539999999892,0.0012998539999999892,273021
6,True,5.0,1,100,0.0015040835000004193,0.001912629499999463,0.002083005840000771,0.0002838540000000833,0.02268256249999956,0.0012998955000003143,0.0012998955000003143,115119
8,False,7.0,1,100,0.0019341664999998898,0.002377873249999318,0.0025964678300012165,0.0006886665000003234,0.03843212499999993,0.0017071459999993266,0.0017071459999993266,497320
8,True,7.0,1,100,0.001936562500000072,0.0023454892499988667,0.0024845033299995658,0.0005260414999996854,0.038303646000000136,0.001715062499998865,0.001715062499998865,201480
12,False,11.0,1,100,0.0030782709999996882,0.00346473299999932,0.003615633249998602,0.0016363544999986601,0.08805710350000062,0.002819312999998047,0.002819312999998047,1004052
12,True,11.0,1,100,0.0029909584999980865,0.0033530524000008554,0.003532292079999557,0.0012067290000015163,0.08525281250000027,0.0027220415000002163,0.0027220415000002163,326300
16,False,14.0,1,100,0.004116104500003104,0.004712794099999229,0.004918319499999271,0.0026940629999998578,0.15562300000000562,0.0038109584999972412,0.0038109584999972412,1414963
16,True,15.0,1,100,0.004100958500000473,0.004612587849996785,0.004765428089997954,0.0021272289999991756,0.1533673335000003,0.003790603999998865,0.003790603999998865,690451
24,False,16.0,1,100,0.005498146000000759,0.007664012850002421,0.008079339579994804,0.0053742704999990565,0.3280636665000003,0.005134104500001513,0.005134104500001513,1257099
24,True,23.0,1,100,0.005704541999996593,0.007901342299996372,0.008272363919997472,0.0052217920000003915,0.34055799999999437,0.005300645500000201,0.005300645500000201,1525227
24,False,16.0,0,100,0.00512756199999842,0.007246039549995941,0.007617130419982058,0.0054628544999957285,0.26224068750001095,0.004872353999999746,,1591902
24,False,16.0,4,100,0.006720645999990893,0.009263656250016083,0.009671496840003327,0.005552167000018926,0.39044070849999457,0.0062471255000104975,0.0062471255000104975,1372182
