benchmark_tag,best_fixed_success,best_keep_frac,best_line_frac,best_split_frac,episodes,family,keep_success,line_success,mean_oracle_switches,median_mode_margin,mode_necessity,oracle_advantage,oracle_success,qualified_fraction,qualified_states,selector_headroom,split_success,states,switch_necessity
method-audit-v2-complete,1.0,0.9090909090909091,0.0,0.09090909090909091,16,ambiguous,1.0,1.0,1.3125,0.0,0.09090909090909091,0.0,1.0,0.6111111111111112,44,0.09090909090909091,0.0,72,0.0
method-audit-v2-complete,0.0,0.8285714285714286,0.0,0.17142857142857143,16,infeasible,0.0,0.0,1.75,1.0,0.17142857142857143,0.0,0.0,0.3645833333333333,35,0.15,0.0,96,0.0
method-audit-v2-complete,1.0,0.6153846153846154,0.3076923076923077,0.07692307692307693,16,keep_line_keep,0.3125,1.0,2.0625,0.75,0.36538461538461536,0.0625,0.375,0.5652173913043478,52,0.3605769230769231,0.0,92,0.0
method-audit-v2-complete,1.0,0.9024390243902439,0.0,0.0975609756097561,16,keep_open,1.0,1.0,1.6875,0.0,0.0975609756097561,0.0,1.0,0.5694444444444444,41,0.0975609756097561,0.0,72,0.0
method-audit-v2-complete,0.875,0.9107142857142857,0.017857142857142856,0.07142857142857142,16,keep_split_merge,0.875,0.0,1.5625,0.0,0.08928571428571429,0.0,0.875,0.717948717948718,56,0.08035714285714286,0.0,78,0.0
method-audit-v2-complete,1.0,0.7704918032786885,0.13114754098360656,0.09836065573770492,24,line_corridor,0.4583333333333333,1.0,1.4583333333333333,1.0,0.22950819672131148,0.12500000000000006,0.5833333333333334,0.46564885496183206,61,0.22131147540983606,0.0,131,0.0
method-audit-v2-complete,0.75,0.8666666666666667,0.044444444444444446,0.08888888888888889,16,split_around,0.75,0.0,1.6875,0.25,0.13333333333333333,0.1875,0.9375,0.5769230769230769,45,0.12777777777777777,0.0,78,0.25
