schema_version,team_size,topology_id,fixture_class,seed,heading_radians,valid_initial_condition,rejection_reasons,initial_formation_error_meters,maximum_formation_error_meters,final_formation_error_meters,final_formation_rms_meters,first_tube_entry_step,dwell_completed,goal_reached,final_goal_error_meters,completion_step,minimum_robot_robot_distance_meters,collision_free,saturation_rate,projection_intervention_rate,projection_infeasible_count,solver_failure_count,deadlock,numerical_failure,controller_calls,per_robot_latency_median_seconds,per_robot_latency_p95_seconds,per_robot_latency_p99_seconds,simulator_orchestration_seconds
rvt-phase6-qualification/v1,5,0,exact_topology,61001,0.0,True,(),4.5236744724522523e-08,4.5236744724522523e-08,4.5236744724522523e-08,3.1987208983305064e-08,0,True,True,1.1102230246251566e-17,19,0.8999999999999999,True,0.0,0.0,0,0,False,False,400,0.00044772949999993816,0.0016626207999999416,0.0027084869100000627,0.009791836000000442
rvt-phase6-qualification/v1,5,0,exact_topology,61002,0.0,True,(),4.5236744724522523e-08,4.5236744724522523e-08,4.5236744724522523e-08,3.1987208983305064e-08,0,True,True,1.1102230246251566e-17,19,0.8999999999999999,True,0.0,0.0,0,0,False,False,400,0.00044287500000006474,0.0013244621500000707,0.0017077181599998777,0.008584916000000442
rvt-phase6-qualification/v1,5,0,exact_topology,61003,0.0,True,(),4.5236744724522523e-08,4.5236744724522523e-08,4.5236744724522523e-08,3.1987208983305064e-08,0,True,True,1.1102230246251566e-17,19,0.8999999999999999,True,0.0,0.0,0,0,False,False,400,0.0004479374999999952,0.001286916349999989,0.0018233075900000253,0.010428838000000606
rvt-phase6-qualification/v1,5,0,exact_topology,61004,0.0,True,(),4.5236744724522523e-08,4.5236744724522523e-08,4.5236744724522523e-08,3.1987208983305064e-08,0,True,True,1.1102230246251566e-17,19,0.8999999999999999,True,0.0,0.0,0,0,False,False,400,0.0004445215000000169,0.0015129225999999216,0.0021503536700000813,0.01174420399999987
rvt-phase6-qualification/v1,5,0,exact_topology,61005,0.0,True,(),4.5236744724522523e-08,4.5236744724522523e-08,4.5236744724522523e-08,3.1987208983305064e-08,0,True,True,1.1102230246251566e-17,19,0.8999999999999999,True,0.0,0.0,0,0,False,False,400,0.0004472085000000181,0.0014517038500000356,0.002321693669999999,0.01059378800000077
rvt-phase6-qualification/v1,5,0,bounded_position,61001,0.0,True,(),0.049832590240178075,0.049832590240178075,0.0005599547418926746,0.00032510329712802887,0,True,True,4.5905682279803565e-05,19,0.8454341422661196,True,0.0,0.0,0,0,False,False,400,0.0004572504999999505,0.0014654229499998614,0.0023962755100001287,0.011754163000001316
rvt-phase6-qualification/v1,5,0,bounded_position,61002,0.0,True,(),0.0449188909851891,0.0449188909851891,0.0003455882219823363,0.0002565813971981333,0,True,True,0.00021732200305067879,19,0.8335091709815177,True,0.0,0.0,0,0,False,False,400,0.0004497085000000345,0.0012787107500000215,0.0020824836700000255,0.01031508599999964
rvt-phase6-qualification/v1,5,0,bounded_position,61003,0.0,True,(),0.053558220757148806,0.053558220757148806,0.000526891017357897,0.0003363091023689907,0,True,True,0.00016919145328348785,19,0.8564909619588468,True,0.0,0.0,0,0,False,False,400,0.0004509580000000013,0.0013797604499999495,0.0018145654200000375,0.009775706000000328
rvt-phase6-qualification/v1,5,0,bounded_position,61004,0.0,True,(),0.04393646267966239,0.04393646267966239,0.0007549924785824898,0.0004510170069259366,0,True,True,0.0002327219959409192,19,0.873703633159593,True,0.0,0.0,0,0,False,False,400,0.00044533349999997807,0.0014506625000001102,0.002100035330000029,0.009554627000000093
rvt-phase6-qualification/v1,5,0,bounded_position,61005,0.0,True,(),0.04843307790777811,0.04843307790777811,0.0005781312158259981,0.0003855082285550527,0,True,True,4.768994684533585e-05,19,0.8751434530381441,True,0.0,0.0,0,0,False,False,400,0.00045329199999999403,0.001323024350000012,0.0019511717600000772,0.011017955000000579
