team_size,topology_id,fixture_class,episode_count,valid_initial_condition_rate,collision_free_rate,dwell_completion_rate,goal_reaching_rate,deadlock_rate,numerical_failure_rate,minimum_robot_robot_distance_meters,mean_initial_formation_error_meters,mean_maximum_formation_error_meters,mean_final_formation_error_meters,mean_final_goal_error_meters,mean_saturation_rate,mean_projection_intervention_rate,projection_infeasible_count,solver_failure_count,median_of_episode_controller_latency_seconds
5,0,bounded_position,5,1.0,1.0,1.0,1.0,0.0,0.0,0.8335091709815177,0.048135848513991296,0.048135848513991296,0.0005531115351282792,0.00014256621628004504,0.0,0.0,0,0,0.0004509580000000013
5,0,bounded_velocity,5,1.0,1.0,1.0,1.0,0.0,0.0,0.8142905651562181,4.5236744724522523e-08,0.06834082739840253,0.0012516695115886093,0.0002072237154835482,0.0,0.0,0,0,0.0004435205000000719
5,0,combined_perturbation,5,1.0,1.0,1.0,1.0,0.0,0.0,0.827268674223647,0.048135848513991296,0.0765539705446232,0.0011884147035692773,0.00031245462597370444,0.0,0.0,0,0,0.0004420625000000067
5,0,exact_topology,5,1.0,1.0,1.0,1.0,0.0,0.0,0.8999999999999999,4.5236744724522523e-08,4.5236744724522523e-08,4.5236744724522523e-08,1.1102230246251566e-17,0.0,0.0,0,0,0.0004472085000000181
5,2,bounded_position,5,1.0,1.0,1.0,1.0,0.0,0.0,0.8374560027164866,0.048135861333375544,0.048135861333375544,0.0006262799133227294,0.00020615397390142857,0.0,0.0,0,0,0.00043879099999999394
5,2,bounded_velocity,5,1.0,1.0,1.0,1.0,0.0,0.0,0.8145571923823156,4.768371586472142e-08,0.06892937649711156,0.001616797087406377,0.0002147070885582931,0.0,0.0,0,0,0.0004387704999999631
5,2,combined_perturbation,5,1.0,1.0,1.0,1.0,0.0,0.0,0.8058015172474371,0.048135861333375544,0.07152815406799991,0.001432265923110985,0.0004160256423757531,0.0,0.0,0,0,0.0004393959999999808
5,2,exact_topology,5,1.0,1.0,1.0,1.0,0.0,0.0,0.9,4.768371586472142e-08,4.768371586472142e-08,4.768371586472142e-08,4.4408920985006264e-17,0.0,0.0,0,0,0.00042087500000009825
5,5,bounded_position,5,1.0,1.0,1.0,1.0,0.0,0.0,0.8278689142839414,0.04813584810790027,0.04813584810790027,0.0006237317130705651,0.00015425710520630307,0.0,0.0,0,0,0.000442249499999936
5,5,bounded_velocity,5,1.0,1.0,1.0,1.0,0.0,0.0,0.7952791632531863,4.5236744724522523e-08,0.06750867091046957,0.0014071876675684138,0.00023303648367129057,0.0,0.0,0,0,0.00044366699999998094
5,5,combined_perturbation,5,1.0,1.0,1.0,1.0,0.0,0.0,0.7632168200941923,0.04813584810790027,0.07302460351312241,0.0012530641354271963,0.0003219518832018044,0.0,0.0,0,0,0.0004412285000000571
5,5,exact_topology,5,1.0,1.0,1.0,1.0,0.0,0.0,0.8999999999999999,4.5236744724522523e-08,4.5236744724522523e-08,4.5236744724522523e-08,2.2204460492503132e-17,0.0,0.0,0,0,0.00044162500000000104
6,0,bounded_position,5,1.0,1.0,1.0,1.0,0.0,0.0,0.8335091709815179,0.04914474782435682,0.04914474782435682,0.0005423836434587154,0.0001646868934864995,0.0,0.0,0,0,0.0005087499999998357
6,0,bounded_velocity,5,1.0,1.0,1.0,1.0,0.0,0.0,0.8143026938751632,2.6656007523325565e-08,0.0708553667747394,0.001275496023362427,0.00013456472587774037,0.0,0.0,0,0,0.0005017084999998644
6,0,combined_perturbation,5,1.0,1.0,1.0,1.0,0.0,0.0,0.8047686097430212,0.04914474782435682,0.07582279604929128,0.0013905881270123484,0.00027962358049904467,0.0,0.0,0,0,0.0005047920000000872
6,0,exact_topology,5,1.0,1.0,1.0,1.0,0.0,0.0,0.9,2.6656007523325565e-08,2.6656007523325565e-08,2.6656007523325565e-08,1.850371707708594e-17,0.0,0.0,0,0,0.0005011665000000942
6,2,bounded_position,5,1.0,1.0,1.0,1.0,0.0,0.0,0.8374560027164863,0.0491447409639576,0.0491447409639576,0.000744777222259036,0.0001627641329942406,0.0,0.0,0,0,0.0004880835000000694
6,2,bounded_velocity,5,1.0,1.0,1.0,1.0,0.0,0.0,0.814572561430631,2.3841857821338408e-08,0.07284214606020303,0.001362703398462277,0.00022501220011078167,0.0,0.0,0,0,0.0004809165000001503
6,2,combined_perturbation,5,1.0,1.0,1.0,1.0,0.0,0.0,0.7909863371988172,0.0491447409639576,0.07675001638842585,0.001377753144354342,0.00028018347951905634,0.0,0.0,0,0,0.0004918125000004103
6,2,exact_topology,5,1.0,1.0,1.0,1.0,0.0,0.0,0.8999999999999999,2.3841857821338408e-08,2.3841857821338408e-08,2.3841857821338408e-08,7.401486830834377e-17,0.0,0.0,0,0,0.00045991650000010154
6,5,bounded_position,5,1.0,1.0,1.0,1.0,0.0,0.0,0.8278689142839415,0.049144748696731105,0.049144748696731105,0.0005072007068389006,0.00013846893142805653,0.0,0.0,0,0,0.0005052295000003149
6,5,bounded_velocity,5,1.0,1.0,1.0,1.0,0.0,0.0,0.7933184254342796,2.6656007523325565e-08,0.07129404951036858,0.0013817312734426344,0.00016491534617179296,0.0,0.0,0,0,0.0005047289999997595
6,5,combined_perturbation,5,1.0,1.0,1.0,1.0,0.0,0.0,0.7953602750808366,0.049144748696731105,0.0798991597843979,0.0014067480417725895,0.00025350281323149637,0.0,0.0,0,0,0.0005076870000002565
6,5,exact_topology,5,1.0,1.0,1.0,1.0,0.0,0.0,0.9,2.6656007523325565e-08,2.6656007523325565e-08,2.6656007523325565e-08,0.0,0.0,0.0,0,0,0.0005027920000000297
8,0,bounded_position,5,1.0,1.0,1.0,1.0,0.0,0.0,0.8077602910476548,0.05005322415909863,0.05005322415909863,0.0006846396576765367,0.0001155455159891377,0.0,0.0,0,0,0.0006478544999994895
