benchmark_tag,git_commit,action_loss,action_rmse_mps2,action_rmse_norm,epoch,grad_norm,has_nan,model,param_update_norm,rank_loss,ranking_accuracy,score_loss,score_rmse,step,target_action_std,test,topology_accuracy,topology_loss,total_loss,train_loss,val_collapse,val_collision_free,val_deadlock,val_form_ok,val_form_rms_mean,val_goal_reached,val_loss,val_success,val_time_in_tube
benchmark-protocol-v2-smoke,3e93d9541e1516c24a7d89448de0f33daf2b8421,0.10216962546110153,0.1442484676837921,0.2404141128063202,,1.0267614126205444,0,rvt_swarm,0.5564293265342712,0.7225680947303772,0.6822916865348816,0.8110604286193848,0.7392680644989014,0,0.25245416164398193,micro_overfit,0.0,1.48019540309906,0.47745242714881897,,,,,,,,,,
benchmark-protocol-v2-smoke,3e93d9541e1516c24a7d89448de0f33daf2b8421,0.0032961240503937006,0.02473897263407707,0.04123162105679512,,3.9088075160980225,0,rvt_swarm,0.0821216031908989,0.441410630941391,0.8645833134651184,0.14916126430034637,0.2797379791736603,100,0.25245416164398193,micro_overfit,1.0,5.2350245823618025e-05,0.04804403334856033,,,,,,,,,,
benchmark-protocol-v2-smoke,3e93d9541e1516c24a7d89448de0f33daf2b8421,0.0006609527627006173,0.01002930924296379,0.01671551540493965,,5.710229873657227,0,rvt_swarm,0.04476258158683777,0.4416615962982178,0.7760416865348816,0.1245456337928772,0.2834000587463379,200,0.25245416164398193,micro_overfit,1.0,1.1622875035754987e-06,0.042007461190223694,,,,,,,,,,
benchmark-protocol-v2-smoke,3e93d9541e1516c24a7d89448de0f33daf2b8421,0.000323218060657382,0.006663073226809501,0.011105122044682503,,8.078424453735352,0,rvt_swarm,0.03468546271324158,0.583668053150177,0.953125,0.06432098895311356,0.3195011615753174,300,0.25245416164398193,micro_overfit,1.0,2.030282075793366e-07,0.04195232689380646,,,,,,,,,,
benchmark-protocol-v2-smoke,3e93d9541e1516c24a7d89448de0f33daf2b8421,0.00022503295622300357,0.00689252782613039,0.011487546376883984,,6.929475784301758,0,rvt_swarm,0.026143815368413925,0.44137322902679443,0.8958333134651184,0.10100611299276352,0.23584435880184174,400,0.25245416164398193,micro_overfit,1.0,1.0058281674218961e-07,0.03881995752453804,,,,,,,,,,
benchmark-protocol-v2-smoke,3e93d9541e1516c24a7d89448de0f33daf2b8421,0.0007708084303885698,0.0082503167912364,0.013750527985394001,,2.0284554958343506,0,rvt_swarm,0.04851293936371803,0.46956944465637207,0.8541666865348816,0.0766790509223938,0.24788306653499603,500,0.25245416164398193,micro_overfit,1.0,8.3819010399111e-08,0.03661239892244339,,,,,,,,,,
benchmark-protocol-v2-smoke,3e93d9541e1516c24a7d89448de0f33daf2b8421,0.00010953163291560486,0.0044944586232304575,0.007490764372050762,,7.342996120452881,0,rvt_swarm,0.018793918192386627,0.4385260343551636,0.8697916865348816,0.09891215711832047,0.2315860390663147,600,0.25245416164398193,micro_overfit,1.0,5.0291408371094803e-08,0.038044918328523636,,,,,,,,,,
benchmark-protocol-v2-smoke,3e93d9541e1516c24a7d89448de0f33daf2b8421,6.861221481813118e-05,0.0030293653719127176,0.005048942286521196,,3.702033281326294,0,rvt_swarm,0.01221723947674036,0.46495184302330017,0.9375,0.07256251573562622,0.22478580474853516,700,0.25245416164398193,micro_overfit,1.0,2.7939671909393837e-08,0.03619380295276642,,,,,,,,,,
benchmark-protocol-v2-smoke,3e93d9541e1516c24a7d89448de0f33daf2b8421,0.00029916694620624185,0.005524849332869053,0.009208082221448421,,12.498900413513184,0,rvt_swarm,0.057815611362457275,0.5770226120948792,0.9739583134651184,0.06508272141218185,0.3841555416584015,800,0.25245416164398193,micro_overfit,1.0,2.0489094865183688e-08,0.040922798216342926,,,,,,,,,,
benchmark-protocol-v2-smoke,3e93d9541e1516c24a7d89448de0f33daf2b8421,4.8642901674611494e-05,0.002542179264128208,0.00423696544021368,,12.464493751525879,0,rvt_swarm,0.014052744954824448,0.4212057292461395,0.7604166865348816,0.11871469765901566,0.25285911560058594,900,0.25245416164398193,micro_overfit,1.0,1.862644971595273e-08,0.0393848791718483,,,,,,,,,,
benchmark-protocol-v2-smoke,3e93d9541e1516c24a7d89448de0f33daf2b8421,0.00010353387187933549,0.0035126368515193463,0.005854394752532244,,14.568756103515625,0,rvt_swarm,0.023091498762369156,0.4100303649902344,0.7760416865348816,0.13339538872241974,0.250621497631073,1000,0.25245416164398193,micro_overfit,1.0,1.6763804566721774e-08,0.04047086462378502,,,,,,,,,,
