R_keep,R_line,R_split,benchmark_tag,best_mode,family,keep_regret,layout_id,mode_margin,mode_necessity,qualified,step,team_size
0.0,0.0,0.0,scenario-headroom-v1-invalid-recovery-label,keep,keep_line_keep,0.0,val_keep_line_keep_001,0.0,0,0,0,6
0.0,0.0,0.0,scenario-headroom-v1-invalid-recovery-label,keep,keep_line_keep,0.0,val_keep_line_keep_001,0.0,0,0,40,6
0.0,1.0,0.0,scenario-headroom-v1-invalid-recovery-label,line,keep_line_keep,1.0,val_keep_line_keep_001,1.0,1,1,80,6
1.0,1.0,1.0,scenario-headroom-v1-invalid-recovery-label,keep,keep_line_keep,0.0,val_keep_line_keep_002,0.0,0,0,0,4
1.0,1.0,0.6666666666666666,scenario-headroom-v1-invalid-recovery-label,keep,keep_line_keep,0.0,val_keep_line_keep_002,0.0,0,1,40,4
1.0,1.0,1.0,scenario-headroom-v1-invalid-recovery-label,keep,keep_line_keep,0.0,val_keep_line_keep_002,0.0,0,0,80,4
0.0,0.0,0.0,scenario-headroom-v1-invalid-recovery-label,keep,keep_line_keep,0.0,val_keep_line_keep_002,0.0,0,0,0,6
0.0,0.0,0.0,scenario-headroom-v1-invalid-recovery-label,keep,keep_line_keep,0.0,val_keep_line_keep_002,0.0,0,0,40,6
0.0,0.0,0.0,scenario-headroom-v1-invalid-recovery-label,keep,keep_line_keep,0.0,val_keep_line_keep_002,0.0,0,0,80,6
1.0,1.0,1.0,scenario-headroom-v1-invalid-recovery-label,keep,keep_split_merge,0.0,val_keep_split_merge_001,0.0,0,0,0,4
1.0,1.0,1.0,scenario-headroom-v1-invalid-recovery-label,keep,keep_split_merge,0.0,val_keep_split_merge_001,0.0,0,0,40,4
1.0,1.0,1.0,scenario-headroom-v1-invalid-recovery-label,keep,keep_split_merge,0.0,val_keep_split_merge_001,0.0,0,0,80,4
1.0,0.6666666666666666,1.0,scenario-headroom-v1-invalid-recovery-label,keep,keep_split_merge,0.0,val_keep_split_merge_001,0.0,0,1,0,6
1.0,1.0,0.0,scenario-headroom-v1-invalid-recovery-label,keep,keep_split_merge,0.0,val_keep_split_merge_001,0.0,0,1,40,6
1.0,0.0,1.0,scenario-headroom-v1-invalid-recovery-label,keep,keep_split_merge,0.0,val_keep_split_merge_001,0.0,0,1,80,6
1.0,1.0,1.0,scenario-headroom-v1-invalid-recovery-label,keep,keep_split_merge,0.0,val_keep_split_merge_002,0.0,0,0,0,4
1.0,1.0,1.0,scenario-headroom-v1-invalid-recovery-label,keep,keep_split_merge,0.0,val_keep_split_merge_002,0.0,0,0,40,4
1.0,0.0,1.0,scenario-headroom-v1-invalid-recovery-label,keep,keep_split_merge,0.0,val_keep_split_merge_002,0.0,0,1,80,4
1.0,0.6666666666666666,1.0,scenario-headroom-v1-invalid-recovery-label,keep,keep_split_merge,0.0,val_keep_split_merge_002,0.0,0,1,0,6
1.0,1.0,0.0,scenario-headroom-v1-invalid-recovery-label,keep,keep_split_merge,0.0,val_keep_split_merge_002,0.0,0,1,40,6
1.0,0.0,0.0,scenario-headroom-v1-invalid-recovery-label,keep,keep_split_merge,0.0,val_keep_split_merge_002,1.0,0,1,80,6
1.0,1.0,1.0,scenario-headroom-v1-invalid-recovery-label,keep,ambiguous,0.0,val_ambiguous_001,0.0,0,0,0,4
1.0,1.0,1.0,scenario-headroom-v1-invalid-recovery-label,keep,ambiguous,0.0,val_ambiguous_001,0.0,0,0,40,4
1.0,0.0,1.0,scenario-headroom-v1-invalid-recovery-label,keep,ambiguous,0.0,val_ambiguous_001,0.0,0,1,80,4
1.0,1.0,1.0,scenario-headroom-v1-invalid-recovery-label,keep,ambiguous,0.0,val_ambiguous_001,0.0,0,0,0,6
1.0,1.0,1.0,scenario-headroom-v1-invalid-recovery-label,keep,ambiguous,0.0,val_ambiguous_001,0.0,0,0,40,6
1.0,0.0,0.3333333333333333,scenario-headroom-v1-invalid-recovery-label,keep,ambiguous,0.0,val_ambiguous_001,0.6666666666666667,0,1,80,6
1.0,1.0,1.0,scenario-headroom-v1-invalid-recovery-label,keep,ambiguous,0.0,val_ambiguous_002,0.0,0,0,0,4
1.0,1.0,1.0,scenario-headroom-v1-invalid-recovery-label,keep,ambiguous,0.0,val_ambiguous_002,0.0,0,0,40,4
0.0,0.0,0.3333333333333333,scenario-headroom-v1-invalid-recovery-label,split,ambiguous,0.3333333333333333,val_ambiguous_002,0.3333333333333333,0,0,80,4
1.0,1.0,1.0,scenario-headroom-v1-invalid-recovery-label,keep,ambiguous,0.0,val_ambiguous_002,0.0,0,0,0,6
1.0,1.0,1.0,scenario-headroom-v1-invalid-recovery-label,keep,ambiguous,0.0,val_ambiguous_002,0.0,0,0,40,6
1.0,0.0,0.0,scenario-headroom-v1-invalid-recovery-label,keep,ambiguous,0.0,val_ambiguous_002,1.0,0,1,80,6
