schema_version,team_size,topology_id,fixture_class,seed,heading_radians,valid_initial_condition,rejection_reasons,initial_formation_error_meters,maximum_formation_error_meters,final_formation_error_meters,final_formation_rms_meters,first_tube_entry_step,dwell_completed,goal_reached,final_goal_error_meters,completion_step,minimum_robot_robot_distance_meters,collision_free,saturation_rate,projection_intervention_rate,projection_infeasible_count,solver_failure_count,deadlock,numerical_failure,controller_calls,per_robot_latency_median_seconds,per_robot_latency_p95_seconds,per_robot_latency_p99_seconds,simulator_orchestration_seconds
rvt-phase6-qualification/v1,5,0,open_translation,61001,0.0,True,(),0.049832590240178075,0.08113793330489874,0.001022746857452525,0.0008074837455260415,0,True,True,0.07531477370686086,32,0.8454341422661196,True,0.0075,0.0075,0,0,False,False,400,0.00048308299999999527,0.001391952099999993,0.002062969079999982,0.010847166000000352
rvt-phase6-qualification/v1,5,0,open_translation,61002,0.0,True,(),0.0449188909851891,0.09484378811015594,0.0014810323366227062,0.0009013734952148582,0,True,True,0.07641161311000749,32,0.8335091709815177,True,0.0175,0.0175,0,0,False,False,400,0.0004825419999999747,0.001330259749999951,0.0024081728300001082,0.011221382000000002
rvt-phase6-qualification/v1,5,0,open_translation,61003,0.0,True,(),0.053558220757148806,0.1371932855563752,0.001193518885384848,0.0008986461677156768,0,True,True,0.07153892399787219,31,0.8392995050351941,True,0.0075,0.0075,0,0,False,False,400,0.00048564600000011726,0.001479612500000014,0.0021687538400001283,0.01177204200000026
rvt-phase6-qualification/v1,5,0,open_translation,61004,0.0,True,(),0.04393646267966239,0.06574216680181606,0.0012410782591276333,0.0007580326462717575,0,True,True,0.0760363607345562,32,0.8463145245467159,True,0.0125,0.0125,0,0,False,False,400,0.000479708500000009,0.0013409520499998986,0.0017296237500000308,0.009842872999999974
rvt-phase6-qualification/v1,5,0,open_translation,61005,0.0,True,(),0.04843307790777811,0.11230178760374826,0.0017796627511518824,0.001198826982298991,0,True,True,0.0716485400200797,31,0.8150335582194334,True,0.005,0.005,0,0,False,False,400,0.0004893540000000529,0.0016587244000000091,0.0024773629100001055,0.011905706999999155
rvt-phase6-qualification/v1,5,0,open_translation,61001,1.0471975511965976,True,(),0.04983256909300558,0.08766702113748918,0.0013607746250451805,0.0009240409767206387,0,True,True,0.07542671950748575,32,0.831334143519736,True,0.01,0.01,0,0,False,False,400,0.00048089600000000843,0.001479621149999905,0.0024613839900000426,0.010449665999999413
rvt-phase6-qualification/v1,5,0,open_translation,61002,1.0471975511965976,True,(),0.044918919959441805,0.08517185038537559,0.0024686897765651477,0.0013504326035309057,0,True,True,0.07487626934026347,32,0.7840515777415389,True,0.01,0.01,0,0,False,False,400,0.0004830624999999644,0.0014510392500000301,0.0018148298200000234,0.012494121000000358
rvt-phase6-qualification/v1,5,0,open_translation,61003,1.0471975511965976,True,(),0.053558232616580756,0.115362277957041,0.0015669380315270721,0.001004772554358242,0,True,True,0.07634775622708184,32,0.7702434822804144,True,0.01,0.01,0,0,False,False,400,0.0004838955000000533,0.0014854583500000457,0.002218261250000052,0.011369463999999274
rvt-phase6-qualification/v1,5,0,open_translation,61004,1.0471975511965976,True,(),0.043936443483600034,0.0611981417899518,0.0010388533434849934,0.0007119251473569327,0,True,True,0.0773678847367032,32,0.8290125106808902,True,0.015,0.015,0,0,False,False,400,0.0004831875000000929,0.001247756600000049,0.001847048930000019,0.012190503999999325
rvt-phase6-qualification/v1,5,0,open_translation,61005,1.0471975511965976,True,(),0.04843309956181595,0.10388899995290472,0.001851372324248569,0.0013232589403324787,0,True,True,0.07284864848901129,32,0.8099816059694838,True,0.0075,0.0075,0,0,False,False,400,0.0004838960000000947,0.001325307699999994,0.0017715080900000146,0.010556002000000841
