team_size,topology_id,fixture_class,heading_radians,episode_count,valid_initial_condition_rate,collision_free_rate,dwell_completion_rate,goal_reaching_rate,deadlock_rate,numerical_failure_rate,minimum_robot_robot_distance_meters,mean_initial_formation_error_meters,mean_maximum_formation_error_meters,mean_final_formation_error_meters,mean_final_goal_error_meters,mean_saturation_rate,mean_projection_intervention_rate,projection_infeasible_count,solver_failure_count,median_of_episode_controller_latency_seconds
5,0,open_translation,0.0,5,1.0,1.0,1.0,1.0,0.0,0.0,0.8150335582194334,0.048135848513991296,0.09824379227539884,0.001343607817947919,0.0741900423138753,0.009999999999999998,0.009999999999999998,0,0,0.00048308299999999527
5,0,open_translation,1.0471975511965976,5,1.0,1.0,1.0,1.0,0.0,0.0,0.7702434822804144,0.04813585294288882,0.09065765824455246,0.0016573256201741927,0.07537345566010911,0.010499999999999999,0.010499999999999999,0,0,0.0004831875000000929
5,2,open_translation,0.0,5,1.0,1.0,1.0,1.0,0.0,0.0,0.7712379584536858,0.048135861333375544,0.09085834232443661,0.0019226261592005342,0.07486658101020696,0.009999999999999998,0.009999999999999998,0,0,0.00047441700000006026
5,2,open_translation,1.0471975511965976,5,1.0,1.0,1.0,1.0,0.0,0.0,0.812245367397721,0.04813584713915613,0.08387990762331848,0.0017150553547384268,0.07595666510033702,0.009999999999999998,0.009999999999999998,0,0,0.00047620850000007486
5,5,open_translation,0.0,5,1.0,1.0,1.0,1.0,0.0,0.0,0.7186500195182055,0.04813584810790027,0.09059075253195623,0.0014169738583270793,0.07504859574820309,0.010499999999999999,0.010499999999999999,0,0,0.0004787290000001221
5,5,open_translation,1.0471975511965976,5,1.0,1.0,1.0,1.0,0.0,0.0,0.8035564146217394,0.04813585574331826,0.08567721492990789,0.001582330423623917,0.07590524250922619,0.010499999999999999,0.010499999999999999,0,0,0.00047720800000006225
6,0,open_translation,0.0,5,1.0,1.0,1.0,1.0,0.0,0.0,0.791794285182512,0.04914474782435682,0.09233898496295612,0.0011872722735517106,0.07473958950907748,0.010833333333333334,0.010833333333333334,0,0,0.000547791500000061
6,0,open_translation,1.0471975511965976,5,1.0,1.0,1.0,1.0,0.0,0.0,0.7734733498613847,0.04914474597905283,0.09128845691237039,0.0013602977314641656,0.07525245196940825,0.010833333333333332,0.010833333333333332,0,0,0.0005475624999999873
6,2,open_translation,0.0,5,1.0,1.0,1.0,1.0,0.0,0.0,0.7628944904602808,0.0491447409639576,0.09271928494693654,0.002933342993211974,0.07440330196271808,0.01125,0.01125,0,0,0.0005196044999999927
6,2,open_translation,1.0471975511965976,5,1.0,1.0,1.0,1.0,0.0,0.0,0.7616890003698258,0.04914474312996908,0.09531353372620961,0.004120448070395762,0.0753878220070314,0.01125,0.01125,0,0,0.0005225209999999425
6,5,open_translation,0.0,5,1.0,1.0,1.0,1.0,0.0,0.0,0.7694211054395991,0.049144748696731105,0.09863027864764903,0.0018064840326797674,0.07418405683278204,0.010833333333333334,0.010833333333333334,0,0,0.000545875000000251
6,5,open_translation,1.0471975511965976,5,1.0,1.0,1.0,1.0,0.0,0.0,0.7624489041907753,0.04914474047938337,0.09901756067460875,0.0014688212311135926,0.07516837246379478,0.009583333333333334,0.009583333333333334,0,0,0.0005498959999998831
8,0,open_translation,0.0,5,1.0,1.0,1.0,1.0,0.0,0.0,0.692314506251785,0.05005322415909863,0.09805809993650257,0.0020570676657340583,0.07340270674310226,0.0096875,0.0096875,0,0,0.000709583500000166
8,0,open_translation,1.0471975511965976,5,1.0,1.0,1.0,1.0,0.0,0.0,0.7475650373026949,0.05005320883176617,0.09198748871566093,0.00193726986749749,0.07397232195407843,0.009375,0.009375,0,0,0.0007054795000001057
8,2,open_translation,0.0,5,1.0,1.0,1.0,1.0,0.0,0.0,0.7322819773697103,0.050053216808744264,0.09757883618240829,0.002653817762484227,0.0735718058051957,0.009687499999999998,0.009687499999999998,0,0,0.0005991664999998036
8,2,open_translation,1.0471975511965976,5,1.0,1.0,1.0,1.0,0.0,0.0,0.7265590493904596,0.050053197410540796,0.09224559191620957,0.003101007709806662,0.07428545678802176,0.010624999999999999,0.010624999999999999,0,0,0.0005982085000000303
8,5,open_translation,0.0,5,1.0,1.0,1.0,1.0,0.0,0.0,0.7556025036816193,0.05005320874675915,0.10421198303149173,0.0020010899906763835,0.07386559237588282,0.008437499999999999,0.008437499999999999,0,0,0.0007021670000002533
8,5,open_translation,1.0471975511965976,5,1.0,1.0,1.0,1.0,0.0,0.0,0.7264013650511262,0.05005320761754491,0.10262590580920483,0.0023762228448082913,0.07417602352625412,0.008749999999999999,0.008749999999999999,0,0,0.0007093754999998314
12,0,open_translation,0.0,5,1.0,1.0,1.0,1.0,0.0,0.0,0.7132359803561409,0.054382553861408924,0.12240196377087842,0.0027173483045759474,0.07305746552324491,0.008541666666666666,0.008541666666666666,0,0,0.0010719784999997373
