method,scenario,team_size,episodes,evaluation_schema_version,goal_reached_mean,collision_free_mean,collision_free_terminal_mean,success_mean,success_terminal_mean,robot_robot_collision_steps_mean,robot_obstacle_collision_steps_mean,min_rr_clearance_mean,min_ro_clearance_mean,deadlock_mean,deadlock_terminal_mean,irreversible_collapse_mean,irreversible_collapse_terminal_mean,form_rms_mean_mean,form_rms_max_mean,form_ok_terminal_mean,time_in_formation_tube_mean,stall_rate_mean,completion_time_mean,topology_switches_mean,safety_filter_activations_mean,safety_filter_activation_rate_mean,inference_latency_mean_ms_mean,inference_latency_median_ms_mean,inference_latency_p95_ms_mean,inference_latency_p99_ms_mean,timed_control_steps_mean,steps_mean,completion_censored_mean
fixed_formation_expert,open_field,4,30,2,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.6269013067086537,1.159528030951818,0.0,0.0,0.0,0.0,0.29381226823358353,0.898115070660909,1.0,0.8595555209215188,0.0,13.210000000000003,0.0,0.0,0.0,0.11190489989164172,0.11121528333344344,0.12590313333336786,0.1402456456667013,88.06666666666666,88.06666666666666,0.0
fixed_formation_expert,open_field,8,30,2,0.8333333333333334,1.0,1.0,0.7666666666666667,0.7666666666666667,0.0,0.0,0.4268329322338104,0.7599087337652842,0.0,0.0,0.0,0.0,0.48254528718584905,1.3973230044047038,0.8666666666666667,0.7366413150244663,0.0,15.749999999999998,0.0,0.0,0.0,0.2959560491715881,0.2944346333334143,0.33051421500005657,0.3554830106668601,107.5,107.5,0.16666666666666666
fixed_formation_expert,narrow_passage,4,30,2,0.13333333333333333,0.7666666666666667,0.9666666666666667,0.13333333333333333,0.13333333333333333,0.2,0.7333333333333333,0.4253011554479599,0.548663467168808,0.26666666666666666,0.23333333333333334,0.3333333333333333,0.23333333333333334,0.5952525423338011,1.1030860086282095,0.36666666666666664,0.5179768412895144,0.08333333333333331,15.825,0.0,0.0,0.0,0.3239511777645706,0.32362706666665036,0.36186019166692657,0.39143995066667614,118.06666666666666,118.06666666666666,0.8666666666666667
fixed_formation_expert,narrow_passage,8,30,2,0.0,0.3333333333333333,0.9,0.0,0.0,5.0,8.733333333333333,0.3960063695907593,0.5420258750518163,0.26666666666666666,0.23333333333333334,0.7,0.3,0.6901623080629442,1.258887779712677,0.03333333333333333,0.3813888888888889,0.055833333333333325,nan,0.0,0.0,0.0,0.7208028030555674,0.7215611833332858,0.7846641249998676,0.8221084216660207,120.0,120.0,1.0
gnn_only,open_field,4,30,2,0.5,1.0,1.0,0.06666666666666667,0.06666666666666667,0.0,0.0,0.40200195610523226,1.126787785689036,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.5471676607739795,0.9211587329705556,0.26666666666666666,0.51647585643856,0.026388888888888892,15.360000000000001,0.0,0.0,0.0,0.428412204323083,0.42243261666605747,0.4878877049999512,0.5337163876669777,111.2,111.2,0.5
gnn_only,open_field,8,30,2,0.23333333333333334,0.9,1.0,0.0,0.0,0.13333333333333333,0.0,0.4001680095990499,0.7523442904154459,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.7448115831327695,1.4160215298334757,0.0,0.3136105973051589,0.0175,15.964285714285714,0.0,0.0,0.0,1.0100961365531138,0.997459649999873,1.144919336666715,1.2030329960000827,116.83333333333333,116.83333333333333,0.7666666666666667
gnn_only,narrow_passage,4,30,2,0.16666666666666666,0.5,1.0,0.03333333333333333,0.03333333333333333,1.4666666666666666,0.5666666666666667,0.39830849766731263,0.5499363164107005,0.13333333333333333,0.13333333333333333,0.23333333333333334,0.13333333333333333,0.5232377855546079,0.9450081646442413,0.5333333333333333,0.6404189423768326,0.09361111111111109,15.389999999999997,0.0,0.0,0.0,0.5639301989374267,0.5545346499999937,0.641962243333225,0.7377302223330631,117.1,117.1,0.8333333333333334
gnn_only,narrow_passage,8,30,2,0.0,0.23333333333333334,0.8333333333333334,0.0,0.0,10.033333333333333,10.0,0.3936839371919632,0.5460033973058065,0.03333333333333333,0.0,0.7333333333333333,0.13333333333333333,0.7252571976598766,1.2610389987627666,0.03333333333333333,0.20888888888888885,0.04388888888888889,nan,0.0,0.0,0.0,1.3219403188887926,1.3038250333330836,1.469721840000311,1.5361074026665236,120.0,120.0,1.0
rvt_swarm,open_field,4,30,2,0.2,1.0,1.0,0.0,0.0,0.0,0.0,0.4050607532262802,1.0065634389718374,0.16666666666666666,0.16666666666666666,0.5666666666666667,0.5333333333333333,0.6982709196986732,1.2686037480831147,0.03333333333333333,0.35104784310728937,0.025833333333333337,14.6,2.066666666666667,31.066666666666666,0.2786728254547964,0.8523738801508973,0.8398173500003973,0.9649930433331141,1.0405476990004818,115.46666666666667,115.46666666666667,0.8
rvt_swarm,open_field,8,30,2,0.1,0.9666666666666667,1.0,0.0,0.0,0.06666666666666667,0.0,0.4016279617945353,0.7118908822536468,0.4,0.4,0.7333333333333333,0.7333333333333333,0.947936447392639,1.5461723566055299,0.0,0.08679330121924439,0.05500000000000001,16.899999999999995,1.9,43.56666666666667,0.3630555555555556,1.623819297327131,1.5946047833333903,1.880812883335447,2.0419164913330548,119.26666666666667,119.26666666666667,0.9
