evaluation_schema_version,git_commit,method,model_seed,final_test_seed,episode_seed,episode_index,episode_signature,scenario,team_size,goal_reached,collision_free,collision_free_terminal,success,success_terminal,robot_robot_collision_steps,robot_obstacle_collision_steps,min_rr_clearance,min_ro_clearance,deadlock,deadlock_terminal,irreversible_collapse,irreversible_collapse_terminal,form_rms_mean,form_rms_max,form_ok_terminal,time_in_formation_tube,stall_rate,completion_time,topology_switches,safety_filter_activations,safety_filter_activation_rate,inference_latency_mean_ms,inference_latency_median_ms,inference_latency_p95_ms,inference_latency_p99_ms,timed_control_steps,steps,completion_censored
2,fafafc5008dd932c27fec409716eb7547c4f3fee,fixed_formation_expert,-1,0,30000400,0,3df8369b1349118143732ee6e6a2d580,open_field,4,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.6799590587615967,2.0491206645965576,0.0,0.0,0.0,0.0,0.25300260328846735,0.8752913475036621,1.0,0.8658536585365854,0.0,12.299999999999999,0.0,0.0,0.0,0.11398831707297474,0.11183300000006113,0.13016040000142226,0.15503824999989033,82.0,82.0,0.0
2,fafafc5008dd932c27fec409716eb7547c4f3fee,fixed_formation_expert,-1,0,30000401,1,2ffb30b22eb6aada08065fc28c6a42b1,open_field,4,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.6052660942077637,0.7458109259605408,0.0,0.0,0.0,0.0,0.2753525794054685,0.9311373829841614,1.0,0.8651685393258427,0.0,13.35,0.0,0.0,0.0,0.11249813483124874,0.11191699999812954,0.12485820000165403,0.13910499999852285,89.0,89.0,0.0
2,fafafc5008dd932c27fec409716eb7547c4f3fee,fixed_formation_expert,-1,0,30000402,2,281e8a4decc8c75013669b559d3e296e,open_field,4,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.684075653553009,0.5600000619888306,0.0,0.0,0.0,0.0,0.32954862705971066,0.8567287921905518,1.0,0.8947368421052632,0.0,14.25,0.0,0.0,0.0,0.11374125263162084,0.11387500000026307,0.12794209999889006,0.13272106000030706,95.0,95.0,0.0
2,fafafc5008dd932c27fec409716eb7547c4f3fee,fixed_formation_expert,-1,0,30000403,3,7efce30e66fab1e523cfdbb048727dac,open_field,4,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.40196746587753296,0.5510707497596741,0.0,0.0,0.0,0.0,0.3999199244437866,0.8758515119552612,1.0,0.6796116504854369,0.0,15.45,0.0,0.0,0.0,0.11192478640747207,0.11133299999954716,0.12344560000059346,0.13411781999884909,103.0,103.0,0.0
2,fafafc5008dd932c27fec409716eb7547c4f3fee,fixed_formation_expert,-1,0,30000404,4,ed116c4c60d6c2365dc4ae014192dd16,open_field,4,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.6616438031196594,1.4843477010726929,0.0,0.0,0.0,0.0,0.24986133072525263,0.8614853620529175,1.0,0.8658536585365854,0.0,12.299999999999999,0.0,0.0,0.0,0.11247206097577624,0.1140829999997095,0.12812709999945326,0.1319185400009104,82.0,82.0,0.0
2,fafafc5008dd932c27fec409716eb7547c4f3fee,fixed_formation_expert,-1,0,30000405,5,17b8deb48d08e0d321c583e61aa49969,open_field,4,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.634475827217102,1.0129520893096924,0.0,0.0,0.0,0.0,0.26430822397733844,0.922205924987793,1.0,0.872093023255814,0.0,12.9,0.0,0.0,0.0,0.11309106976732813,0.11083299999903318,0.1279165000012128,0.1424937500013713,86.0,86.0,0.0
2,fafafc5008dd932c27fec409716eb7547c4f3fee,fixed_formation_expert,-1,0,30000406,6,60e1dd33138a9e28a44f6ddeb95649ad,open_field,4,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.5351088047027588,0.551102876663208,0.0,0.0,0.0,0.0,0.33561586465809373,0.9243658781051636,1.0,0.8791208791208791,0.0,13.65,0.0,0.0,0.0,0.11340105494502731,0.11358300000097188,0.13070799999859162,0.14307859999931336,91.0,91.0,0.0
2,fafafc5008dd932c27fec409716eb7547c4f3fee,fixed_formation_expert,-1,0,30000407,7,266c5f48ab2fe4267faf99218ed0a78a,open_field,4,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.5029630661010742,0.5512386560440063,0.0,0.0,0.0,0.0,0.470333949866749,0.8749064207077026,1.0,0.6190476190476191,0.0,15.75,0.0,0.0,0.0,0.1119301428572734,0.11179200000199785,0.12453280000030986,0.13230935999928303,105.0,105.0,0.0
2,fafafc5008dd932c27fec409716eb7547c4f3fee,fixed_formation_expert,-1,0,30000408,8,ff35cc941eceb53f04f967a717a5dc3f,open_field,4,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.46287521719932556,0.550024688243866,0.0,0.0,0.0,0.0,0.38181090311517996,0.9357678890228271,1.0,0.8932038834951457,0.0,15.45,0.0,0.0,0.0,0.11166420388343871,0.11095900000057668,0.1250830000000036,0.13268749999880924,103.0,103.0,0.0
2,fafafc5008dd932c27fec409716eb7547c4f3fee,fixed_formation_expert,-1,0,30000409,9,a015dfb474e9aca281f4849d5c5c1054,open_field,4,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.6295079588890076,0.6111857295036316,0.0,0.0,0.0,0.0,0.2978571706705473,0.8971409201622009,1.0,0.875,0.0,13.2,0.0,0.0,0.0,0.11206718181811968,0.1111045000001809,0.1289233499988995,0.13673753999857038,88.0,88.0,0.0
2,fafafc5008dd932c27fec409716eb7547c4f3fee,fixed_formation_expert,-1,0,30000410,10,a099161f9dd311fa4096e19eab5ebe91,open_field,4,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.653593897819519,0.830324649810791,0.0,0.0,0.0,0.0,0.27591078245843,0.9056954979896545,1.0,0.875,0.0,13.2,0.0,0.0,0.0,0.11420264772731382,0.11425050000113401,0.12987095000127624,0.137839670002009,88.0,88.0,0.0
